"Main Category","Sub-Category"
"Car & Motorcycle","Car & Motorcycle (Other)"
"Car & Motorcycle","Commercial Vehicle Dealers"
"Car & Motorcycle","Driving Instructor"
"Car & Motorcycle","Gas Station"
"Car & Motorcycle","GPS/Sat Nav Systems"
"Car & Motorcycle","Tire Sales/Replacement"
"Car & Motorcycle","Truck Repair"
"Car & Motorcycle","Used Car Sales"
"Car & Motorcycle","Vehicle Cleaning/Car Wash"
"Car & Motorcycle","Vehicle Towing"
"Computer & Programming","App Developer"
"Computer & Programming","Cloud Services"
"Computer & Programming","Computer & Programming (Other)"
"Computer & Programming","Computer Retailer"
"Computer & Programming","Computer Software"
"Computer & Programming","Computer Training"
"Computer & Programming","Cybersecurity Services"
"Computer & Programming","Data Security"
"Computer & Programming","ERP Software"
"Computer & Programming","Internet Services"
"Computer & Programming","IT & Networks"
"Computer & Programming","IT Consultants"
"Computer & Programming","IT Hardware Supplier"
"Computer & Programming","Portal & Content Provider"
"Computer & Programming","Programmer"
"Computer & Programming","Software Integration"
"Construction","ACP Services"
"Construction","Aluminium Installation"
"Construction","Asphalt"
"Construction","Balcony/Veranda"
"Construction","Blacksmith"
"Construction","Bricklayer/Stonemason"
"Construction","Builder/General Contractor"
"Construction","Cabinet Maker"
"Construction","Carpenter"
"Construction","Cement/Concrete"
"Construction","Chimney Sweep"
"Construction","Civil Contractor"
"Construction","Commercial Builder"
"Construction","Construction (Other)"
"Construction","Construction Project Management"
"Construction","Counter Tops"
"Construction","Custom Home Builder"
"Construction","Demolition Contractor"
"Construction","Drainage"
"Construction","Drop / False Ceiling"
"Construction","Drywall"
"Construction","Electrical Contractor"
"Construction","Electrician - Commercial"
"Construction","Elevators"
"Construction","Energy Services"
"Construction","Environmental Services"
"Construction","Fences"
"Construction","Fireplace & Oven Builder"
"Construction","Flooring"
"Construction","Garage Doors"
"Construction","Glass"
"Construction","Ground works"
"Construction","Gutters"
"Construction","Handyman"
"Construction","Hardscaping"
"Construction","Heating Engineer"
"Construction","Home Automation"
"Construction","HVAC - Heating & Air"
"Construction","Insulation"
"Construction","Interior Design - Commercial"
"Construction","Interior Design - Residential"
"Construction","Irrigation"
"Construction","IT Installer"
"Construction","Joiner"
"Construction","Kitchen Construction"
"Construction","Lighting"
"Construction","Low Voltage Electrician"
"Construction","Main Contractor"
"Construction","Metal Work"
"Construction","Painter - Commercial"
"Construction","Painter - Residential"
"Construction","Pipework"
"Construction","Plasterer"
"Construction","Plumbing"
"Construction","Pools, Spas & Saunas"
"Construction","Power Generator"
"Construction","Power Washing"
"Construction","Protective Coatings/Sealants"
"Construction","Remodeler - Commercial"
"Construction","Remodeler - Residential"
"Construction","Rental Equipment"
"Construction","Restoration"
"Construction","Roofing - Commercial"
"Construction","Roofing - Residential"
"Construction","Scaffolding"
"Construction","Septic Systems"
"Construction","Shutters & Awnings"
"Construction","Single House Builder"
"Construction","Solar"
"Construction","Tile Worker"
"Construction","Waterproofing-Weatherproofing"
"Construction","Window Treatments"
"Construction","Windows & Doors"
"Consulting","Business Advisor"
"Consulting","Business Broker"
"Consulting","Business Consultant"
"Consulting","Business Consultant - Management"
"Consulting","Business Consultant - Organization & Process"
"Consulting","Business Consultant - Quality Management"
"Consulting","Business Consultant - Small Business"
"Consulting","Business Consultant - Turnaround"
"Consulting","Consulting (Other)"
"Consulting","Diversity, Equity and Inclusion"
"Consulting","Educational Consulting"
"Consulting","Energy Consulting"
"Consulting","Privacy Expert/Data Protection Officer"
"Consulting","Professional Organizer"
"Consulting","Tendering"
"Consulting","Vastu Consultant"
"Employment Activities","Administrative Services"
"Employment Activities","Employment Activities (Other)"
"Employment Activities","Employment Agency"
"Employment Activities","Employment Law Consultant"
"Employment Activities","Employment of Foreign Workers"
"Employment Activities","Human Resources"
"Employment Activities","Recruiter"
"Employment Activities","Virtual Assistant"
"Event & Business Service","Call Center/Answering Service"
"Event & Business Service","Corporate Events"
"Event & Business Service","Event & Business-Service (Other)"
"Event & Business Service","Event Manager/Marketer"
"Event & Business Service","Event Planner"
"Event & Business Service","Event Rentals"
"Event & Business Service","Event Venue/Room Rental"
"Event & Business Service","Events"
"Event & Business Service","Hotel"
"Event & Business Service","Mobile Bartending Service"
"Event & Business Service","Office Services"
"Event & Business Service","Shared Workspace"
"Event & Business Service","Shredding Services"
"Event & Business Service","Technicians - Audio, Video"
"Event & Business Service","Translator/Language Services"
"Finance & Insurance","Asset Finance"
"Finance & Insurance","Banking Services"
"Finance & Insurance","Barter & Cryptocurrency"
"Finance & Insurance","Business Financing"
"Finance & Insurance","Collections"
"Finance & Insurance","Commercial Bank Services"
"Finance & Insurance","Commercial Insurance"
"Finance & Insurance","Commercial Loans"
"Finance & Insurance","Company Secretary"
"Finance & Insurance","Consortium Administration"
"Finance & Insurance","Consumer Loan"
"Finance & Insurance","Credit Card/Merchant Services"
"Finance & Insurance","Credit Repair"
"Finance & Insurance","Finance & Insurance (Other)"
"Finance & Insurance","Financial Advisor"
"Finance & Insurance","Financial Investments"
"Finance & Insurance","Financial Trustee"
"Finance & Insurance","Foreign Exchange"
"Finance & Insurance","General Insurance"
"Finance & Insurance","Group Benefits"
"Finance & Insurance","Health Insurance"
"Finance & Insurance","Insolvency Practitioner"
"Finance & Insurance","Insurance Adjuster"
"Finance & Insurance","Insurance Consultant"
"Finance & Insurance","Life and Disability Insurance"
"Finance & Insurance","Loan Services"
"Finance & Insurance","Medicare"
"Finance & Insurance","Mutual Funds"
"Finance & Insurance","Pensions"
"Finance & Insurance","Personal Banker"
"Finance & Insurance","Property & Casualty Insurance"
"Finance & Insurance","Property Construction Loan"
"Finance & Insurance","Residential Mortgages"
"Finance & Insurance","Reverse Mortgages"
"Finance & Insurance","Stock Broker"
"Finance & Insurance","Supplemental Insurance"
"Finance & Insurance","Vehicle Insurance"
"Finance & Insurance","Wealth Management"
"Food & Beverage","Baker"
"Food & Beverage","Beverage Distributor"
"Food & Beverage","Beverage Service"
"Food & Beverage","Café"
"Food & Beverage","Caterer"
"Food & Beverage","Chocolatier"
"Food & Beverage","Coffee Distribution"
"Food & Beverage","Coffee House/Shop"
"Food & Beverage","Confectionery"
"Food & Beverage","Food & Beverage (Other)"
"Food & Beverage","Food Service"
"Food & Beverage","Restaurant"
"Food & Beverage","Tea Distribution"
"Food & Beverage","Tea Merchant"
"Food & Beverage","Vegetable Supplier"
"Food & Beverage","Wine Merchant/Wine"
"Health & Wellness","Acupuncture"
"Health & Wellness","Aestician"
"Health & Wellness","Alternative Wellness"
"Health & Wellness","Chiropractor"
"Health & Wellness","Clinical Laboratories"
"Health & Wellness","Counselor/Psychotherapist"
"Health & Wellness","Dentist"
"Health & Wellness","Dermatologist"
"Health & Wellness","Doctor/Physician"
"Health & Wellness","Essential Oils"
"Health & Wellness","Gynecologist"
"Health & Wellness","Health & Wellness (Other)"
"Health & Wellness","Health & Wellness Products"
"Health & Wellness","Health & Wellness Services"
"Health & Wellness","Health Coach"
"Health & Wellness","Health Concierge Services"
"Health & Wellness","Health Facility/Gym/Club"
"Health & Wellness","Hearing/Audiology"
"Health & Wellness","Hospice"
"Health & Wellness","Hypnotherapist"
"Health & Wellness","In-Home Care"
"Health & Wellness","Infusion Spa"
"Health & Wellness","Massage Therapist"
"Health & Wellness","Medical Services"
"Health & Wellness","Medical Spa"
"Health & Wellness","Naturopaths"
"Health & Wellness","Nutritional Supplements"
"Health & Wellness","Nutritionist"
"Health & Wellness","Optician"
"Health & Wellness","Orthodontist"
"Health & Wellness","Osteopath"
"Health & Wellness","Personal Trainer - Fitness"
"Health & Wellness","Pharmacist"
"Health & Wellness","Physical Therapist"
"Health & Wellness","Podiatrist"
"Health & Wellness","Sophrologist"
"Health & Wellness","Weight Management"
"Health & Wellness","Wellness Coach"
"Legal & Accounting","Accounting Services"
"Legal & Accounting","Administrative Law"
"Legal & Accounting","Auditor"
"Legal & Accounting","Bankruptcy Law"
"Legal & Accounting","Bookkeeping"
"Legal & Accounting","Business Law"
"Legal & Accounting","Certified Public Accountant (CPA)"
"Legal & Accounting","Civil Law"
"Legal & Accounting","Company Formation"
"Legal & Accounting","Consumer Law"
"Legal & Accounting","Conveyancing"
"Legal & Accounting","Corporate Law"
"Legal & Accounting","Criminal Defense Law"
"Legal & Accounting","Elder Law"
"Legal & Accounting","Employment/Labor Law"
"Legal & Accounting","Estate Planning Law"
"Legal & Accounting","Family Law"
"Legal & Accounting","Government Services"
"Legal & Accounting","Health Law"
"Legal & Accounting","Immigration Law"
"Legal & Accounting","Intellectual Property Law"
"Legal & Accounting","Law Enforcement Officer"
"Legal & Accounting","Lawyer"
"Legal & Accounting","Legal & Accounting (Other)"
"Legal & Accounting","Legal Service Plan"
"Legal & Accounting","Mediator"
"Legal & Accounting","Notary"
"Legal & Accounting","Offshore Company Set up"
"Legal & Accounting","Payroll Service"
"Legal & Accounting","Pension/Retirement Law"
"Legal & Accounting","Personal Injury Law"
"Legal & Accounting","Real Estate Law"
"Legal & Accounting","Tax Advisor"
"Legal & Accounting","Tax Law"
"Legal & Accounting","Wills/Trusts"
"Manufacturing","Apparel"
"Manufacturing","Basic Metals"
"Manufacturing","Beverages"
"Manufacturing","Chemical Products"
"Manufacturing","CNC Services"
"Manufacturing","Commercial Vehicle Manufacture"
"Manufacturing","Computer, Electronics & Optical"
"Manufacturing","Electric Energy Generation"
"Manufacturing","Electrical Equipment Manufacture"
"Manufacturing","Flooring Manufacture"
"Manufacturing","Food Products"
"Manufacturing","Furniture manufacture"
"Manufacturing","Leather Products"
"Manufacturing","Lighting Manufacture"
"Manufacturing","Machinery & Equipment Manufacture"
"Manufacturing","Manufacturing (Other)"
"Manufacturing","Metal Fabrication"
"Manufacturing","Motor Vehicles"
"Manufacturing","Non Metallic Minerals"
"Manufacturing","Packaging"
"Manufacturing","Paint Manufacture"
"Manufacturing","Paper & Paper Products"
"Manufacturing","Petroleum Products"
"Manufacturing","Pharmaceutical"
"Manufacturing","Plywood Supplier / Distributor"
"Manufacturing","Recorded Media"
"Manufacturing","Rubber & Plastic"
"Manufacturing","Textiles"
"Manufacturing","Tobacco Products"
"Manufacturing","Transportation Equipment"
"Manufacturing","uPVC Windows & Doors"
"Manufacturing","Wood & Cork (except Furniture)"
"Organizations & Others","Chambers/Associations"
"Organizations & Others","Givers Gain®"
"Organizations & Others","Non-Profits/Fundraising Organizations"
"Organizations & Others","Organizations & Other (Other)"
"Personal Services","Astrologist"
"Personal Services","Celebrant"
"Personal Services","Color & Style Consultant"
"Personal Services","Cosmetics/Skin Care"
"Personal Services","Dry Cleaning/Laundry"
"Personal Services","Funeral Planning/Services"
"Personal Services","Hair Stylist"
"Personal Services","Language Education Services"
"Personal Services","Makeup Artist"
"Personal Services","Personal Services (Other)"
"Personal Services","Salon/Spa"
"Personal Services","Senior Service Provider"
"Personal Services","Wedding Planner"
"Real Estate Services","Apartment Administrator"
"Real Estate Services","Buying Agent"
"Real Estate Services","Carpet, Upholstery Cleaner"
"Real Estate Services","Cleaning - Exterior"
"Real Estate Services","Cleaning - Pools, Spas and Saunas"
"Real Estate Services","Cleaning - Residential"
"Real Estate Services","Cleaning - Vents"
"Real Estate Services","Commercial Cleaning"
"Real Estate Services","Commercial Property Management"
"Real Estate Services","Commercial Real Estate"
"Real Estate Services","Dumpster Rental"
"Real Estate Services","Electricity & Gas Dealers"
"Real Estate Services","Estate Sales"
"Real Estate Services","Home Inspection"
"Real Estate Services","Home Staging"
"Real Estate Services","Junk Removal"
"Real Estate Services","Lawn Care"
"Real Estate Services","Pest Control - Commercial"
"Real Estate Services","Pest Control - Mosquito"
"Real Estate Services","Pest Control - Residential"
"Real Estate Services","Property Management"
"Real Estate Services","Real Estate Appraisal"
"Real Estate Services","Real Estate Development"
"Real Estate Services","Real Estate Inspector"
"Real Estate Services","Real Estate Investments"
"Real Estate Services","Real Estate Maintenance/Care Taker"
"Real Estate Services","Real Estate Planning Consultant"
"Real Estate Services","Real Estate Rentals"
"Real Estate Services","Real Estate Services (Other)"
"Real Estate Services","Real Estate Tax Exemption"
"Real Estate Services","Residential Real Estate Agent"
"Real Estate Services","Storage Rentals"
"Real Estate Services","Title Services"
"Real Estate Services","Waste Disposal"
"Real Estate Services","Weed Control"
"Real Estate Services","Window Cleaning"
"Repair","Appliance Repair"
"Repair","Computer Repair"
"Repair","Furniture Repair/Upholstery"
"Repair","Jewelry Repair"
"Repair","Machinery & Equipment Repair"
"Repair","Pool, Spas, and Saunas Repair"
"Repair","Repair (Other)"
"Retail","Appliances"
"Retail","Art Dealer/Gallery Owner"
"Retail","Bath Accessories"
"Retail","Boats"
"Retail","Book Dealers"
"Retail","Building Materials"
"Retail","Candles"
"Retail","Carpets/Rugs"
"Retail","Cleaning Products"
"Retail","Clothing & Accessories Retailer"
"Retail","Computer Accessories"
"Retail","Construction Products Retail"
"Retail","Curtains/Blinds"
"Retail","Custom Clothing/Tailor"
"Retail","Diamonds"
"Retail","Doors Retail"
"Retail","Electrical Equipment"
"Retail","Electronics Retailer"
"Retail","Environmental Products"
"Retail","Fashion Jewelry"
"Retail","Fine Jewelry"
"Retail","Flooring Retail"
"Retail","Florist"
"Retail","Fuels"
"Retail","Furniture Retailer"
"Retail","Gifts"
"Retail","Home Furnishings"
"Retail","Home Theatres"
"Retail","Hygiene/Janitorial Supplies"
"Retail","International Trading"
"Retail","IT Hardware"
"Retail","Lighting Retailers"
"Retail","Mattresses"
"Retail","Office Equipment/Machines"
"Retail","Office Furniture"
"Retail","Office Supplies"
"Retail","Optical Products"
"Retail","Paint Retail"
"Retail","Perfume"
"Retail","Printing Products/Cartridges"
"Retail","Retail (Other)"
"Retail","Sports Retailer"
"Retail","Supermarket"
"Retail","Tiles"
"Retail","Uniforms"
"Retail","UPS/Inverter"
"Retail","Wall coverings"
"Retail","Water Systems"
"Retail","Women Apparel"
"Retail","Wood Merchants"
"Security & Investigation","CCTV"
"Security & Investigation","Fire Protection"
"Security & Investigation","Investigative Services/Detective"
"Security & Investigation","Locksmith"
"Security & Investigation","Occupational Safety"
"Security & Investigation","Security (Other)"
"Security & Investigation","Security Personnel"
"Security & Investigation","Security Systems"
"Sports & Leisure","Entertainment Venue"
"Sports & Leisure","Golf"
"Sports & Leisure","Golf Instructor"
"Sports & Leisure","Lessons"
"Sports & Leisure","Martial Arts"
"Sports & Leisure","Sports & Leisure (Other)"
"Sports & Leisure","Swimming"
"Sports & Leisure","Yoga/Pilates/Qi-gong Trainer"
"Telecommunications","Mobile Telecommunications"
"Telecommunications","Telecommunications (Other)"
"Telecommunications","Telecommunications Products/Services"
"Training & Coaching","Business Training/Coach"
"Training & Coaching","Communication Coach"
"Training & Coaching","Education Services/Tutor"
"Training & Coaching","Educational Facility"
"Training & Coaching","Language Teaching"
"Training & Coaching","Leadership Coach"
"Training & Coaching","Learning Centre"
"Training & Coaching","Life Coach"
"Training & Coaching","Management Coach"
"Training & Coaching","Mind Coach"
"Training & Coaching","Money Coach"
"Training & Coaching","Online Training"
"Training & Coaching","Parent Coach"
"Training & Coaching","Relationship Coach"
"Training & Coaching","Sales Training/Coach"
"Training & Coaching","Training & Coaching (Other)"
"Training & Coaching","Voice Coach"
"Transport & Shipping","Commercial Transportation"
"Transport & Shipping","Courier"
"Transport & Shipping","Freight Service"
"Transport & Shipping","Mailing Service"
"Transport & Shipping","Moving Company"
"Transport & Shipping","Shuttle/Limousine Service"
"Transport & Shipping","Transport & Shipping (Other)"
"Travel","Ticketing"
"Travel","Tours/Tour Guide"
"Travel","Travel (Other)"
"Travel","Travel Agent"
"Travel","Visa Consultant"
